record,text,lemma,p_single,p_lemma,gain
3939,на,на,0.9839116334915161,0.986160576343536,0.0022489428520199306
4035,такой,такой,0.963014781475067,0.9652557373046871,0.0022409558296200283
3428,кто,кто,0.9971594810485841,0.9992460608482361,0.0020865797996519886
4054,Не,не,0.993961870670318,0.996037423610687,0.0020755529403689854
3421,сочли,счесть,0.546705424785614,0.5487009882926941,0.001995563507080078
4054,Не,не,0.9950211048126221,0.9970087409019471,0.001987636089325062
4063,но,но,0.411240547895431,0.413123041391372,0.0018824934959409956
3698,ты,ты,0.729333162307739,0.731136202812194,0.0018030405044550113
3951,хрен,хрен,0.33353421092033303,0.33509832620620705,0.0015641152858740237
4063,а,а,0.8185481429100031,0.8200601935386651,0.0015120506286619984
3428,кто,кто,0.965436697006225,0.9669222235679621,0.0014855265617370605
4034,не,не,0.299046874046325,0.30052617192268305,0.0014792978763580322
4057,всем,весь,0.04779115319252,0.049270007759332005,0.0014788545668120018
4033,не,не,0.09870658814907,0.100090950727462,0.001384362578392001
4079,всем,весь,0.67735069990158,0.678699493408203,0.0013487935066229806
4060,как,как,0.841282606124877,0.8426219820976251,0.0013393759727480248
4034,не,не,0.531748950481414,0.5329511761665341,0.001202225685120073
4050,одно,один,0.175559163093566,0.17675101757049502,0.0011918544769290162
1676,у,у,0.9631574153900141,0.9642732739448541,0.0011158585548399769
1676,у,у,0.950657904148101,0.951764822006225,0.0011069178581240013
4033,не,не,0.934250056743621,0.935243546962738,0.000993490219116988
3921,ничего,ничего,0.918761670589447,0.9197370409965511,0.0009753704071040481
3931,стала,стать,0.33036321401596,0.33130875229835505,0.0009455382823950198
4079,всем,весь,0.9979301691055291,0.9988105297088621,0.0008803606033329636
4072,раз,раз,0.9952068924903871,0.996084868907928,0.0008779764175409488
3931,стали,стать,0.30883958935737604,0.309580951929092,0.0007413625717159755
4060,как,как,0.001020060037262,0.001725957496091,0.000705897458829
4054,не,не,0.9953481554985041,0.9959702491760251,0.000622093677520974
4072,раз,раз,0.9978871941566461,0.9985083341598511,0.0006211400032050118
4056,и,и,0.967472970485687,0.9680788516998291,0.0006058812141420677
4063,да,да,0.14178065955638802,0.142363846302032,0.0005831867456439765
4079,всем,весь,0.49811527132987904,0.49868333339691107,0.0005680620670320269
4060,как,как,0.027112687006592,0.027653492987155002,0.0005408059805630007
3939,на,на,0.9574279189109801,0.957968115806579,0.0005401968955989211
4060,как,как,0.8993563652038571,0.8998442888259881,0.0004879236221310146
3921,сказать,сказать,0.9949911236763,0.99547654390335,0.0004854202270500041
4050,что,что,0.994236409664154,0.9947022795677181,0.00046586990356400904
4063,не,не,0.9647825956344601,0.96523094177246,0.00044834613799993317
4080,ужас,ужас,0.8576061725616451,0.8580042719841001,0.00039809942245505603
4080,ужас,ужас,0.8861150145530701,0.8864724636077881,0.0003574490547180176
3939,на,на,0.9906949996948241,0.9910302758216851,0.00033527612686101715
3939,на,на,0.506813883781433,0.507141411304473,0.00032752752303999433
4033,не,не,0.013471148908138001,0.013786901719868001,0.00031575281172999993
3976,легком,легкий,0.379191368818283,0.37950274348258906,0.00031137466430603
4050,одно,один,0.325915217399597,0.326218545436859,0.0003033280372620184
4035,кто,кто,0.998761534690856,0.9990482926368711,0.00028675794601507043
4072,раз,раз,0.998220384120941,0.9984991550445551,0.00027877092361405786
3421,счел,счесть,0.504115760326385,0.504391968250274,0.0002762079238889381
3921,сказать,сказать,0.9927926063537591,0.9930599927902221,0.00026738643646295746
3921,это,это,0.6113871932029721,0.611647129058837,0.0002599358558649234
3976,легкой,легкий,0.308938711881637,0.309189707040786,0.0002509951591490034
4069,смотрю,смотреть,0.48607453703880305,0.486320823431015,0.0002462863922119696
4050,что,что,0.998448491096496,0.9986872673034661,0.00023877620697010382
3951,не,не,0.998256862163543,0.998495459556579,0.0002385973930359997
3921,сказать,сказать,0.9982775449752801,0.9985072612762451,0.0002297163009650216
4034,не,не,0.996381640434265,0.9965902566909791,0.00020861625671408923
4080,ужас,ужас,0.805463254451751,0.8056681156158441,0.00020486116409301758
4033,не,не,0.000405512721044,0.00059609778691,0.000190585065866
3931,стал,стать,0.7303562760353081,0.7305417656898491,0.00018548965454101562
3921,что,что,0.9915140867233271,0.9916880726814271,0.00017398595810003137
3921,ничего,ничего,0.9965245127677911,0.9966959953308101,0.00017148256301902087
3951,не,не,0.9989877343177791,0.999152600765228,0.0001648664474489525
4054,а,а,0.967786192893981,0.9679509997367851,0.0001648068428040661
4056,и,и,0.8270983695983881,0.8272606134414671,0.00016224384307894635
1676,у,у,0.9979173541069031,0.998079419136047,0.00016206502914395404
4050,что,что,0.9979867935180661,0.9981464743614191,0.00015968084335304944
3921,сказать,сказать,0.9981587529182431,0.9983134269714351,0.00015467405319202765
3951,а,а,0.9941661357879631,0.9943166375160211,0.00015050172805797235
2147,от,от,0.996603369712829,0.9967486262321471,0.00014525651931807104
3951,не,не,0.9988046884536741,0.9989461898803711,0.0001415014266969994
4069,смотрю,смотреть,0.0019133132882410001,0.002053862437605,0.0001405491493639999
3921,что,что,0.9958866238594051,0.9960255026817321,0.00013887882232699322
2232,скоро,скоро,0.9452127218246461,0.945350050926208,0.0001373291015619449
4072,раз,раз,0.998337507247924,0.9984745383262631,0.00013703107833906714
3951,а,а,0.994375109672546,0.9945102334022521,0.0001351237297060326
4080,ужас,ужас,0.862132310867309,0.862264573574066,0.00013226270675703589
4050,что,что,0.9983496665954591,0.9984808564186091,0.00013118982314996863
